ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
1,26-39,male,minority,20-29y,high school,upper class,0.741555,0,after 2015,1,1,10048,10993,sedan,0,0,4,0
2,65+,male,majority,10-19y,none,middle class,0.881102,1,before 2015,1,1,10048,9000,sedan,0,2,3,1
3,40-64,male,majority,30y+,none,working class,0.46318,0,after 2015,0,0,10009,13985,sedan,2,0,0,0
4,40-64,female,minority,0-9y,high school,middle class,0.289179,0,after 2015,0,0,10009,17030,sedan,4,3,0,1
5,26-39,male,majority,20-29y,high school,working class,0.318847,0,after 2015,0,0,10015,13648,sports car,0,0,1,0
6,26-39,female,minority,20-29y,high school,middle class,0.696948,1,before 2015,1,1,10032,23209,sedan,1,1,4,1
7,16-25,male,minority,30y+,high school,poverty,0.567558,1,before 2015,0,1,10048,23001,sedan,3,1,3,1
8,65+,female,majority,10-19y,high school,middle class,0.486494,1,after 2015,1,1,10007,12385,sports car,0,2,0,1
9,40-64,female,minority,20-29y,high school,working class,0.202774,1,before 2015,0,0,10009,9228,sedan,4,0,1,0
10,40-64,female,majority,10-19y,high school,working class,0.875456,1,after 2015,1,1,10238,23004,sports car,1,0,4,1
11,16-25,female,majority,10-19y,university,upper class,0.78102,1,before 2015,0,0,10065,13332,sports car,0,0,3,1
12,65+,female,majority,30y+,high school,working class,0.140639,1,after 2015,0,1,10068,11213,sedan,2,0,2,0
13,40-64,female,majority,30y+,university,middle class,0.367388,0,before 2015,0,0,10238,24165,sedan,0,2,3,0
14,26-39,male,majority,20-29y,university,middle class,0.542132,0,after 2015,0,0,10065,14855,sedan,0,0,3,0
15,26-39,male,majority,10-19y,high school,poverty,0.454339,1,after 2015,1,0,10081,22485,sports car,0,0,0,0
16,26-39,male,minority,30y+,high school,middle class,0.397796,0,after 2015,1,1,10009,5184,sedan,3,0,1,0
17,26-39,male,minority,0-9y,high school,working class,0.718832,1,after 2015,0,1,10009,6095,sedan,0,0,0,0
18,40-64,male,minority,0-9y,high school,middle class,0.054504,1,after 2015,0,0,10022,14578,sedan,0,0,4,0
19,26-39,male,majority,20-29y,none,middle class,0.47141,1,before 2015,0,1,10022,18042,sedan,2,0,2,0
20,26-39,male,majority,10-19y,university,working class,0.262182,1,before 2015,0,0,10015,14582,sports car,0,0,0,0
21,40-64,male,majority,30y+,none,working class,0.084618,0,before 2015,1,1,10007,14478,sedan,2,1,0,0
22,16-25,male,majority,10-19y,university,middle class,0.464887,0,before 2015,0,0,10009,11606,sedan,1,0,0,0
23,26-39,female,majority,10-19y,university,middle class,0.171369,0,after 2015,0,1,10032,14126,sedan,1,0,3,0
24,26-39,male,minority,20-29y,high school,middle class,0.258224,0,before 2015,0,1,10022,21671,sedan,1,0,0,0
25,26-39,female,majority,20-29y,high school,working class,0.507009,0,before 2015,1,0,10048,20229,sedan,2,1,0,0
26,40-64,male,majority,10-19y,high school,middle class,0.973709,0,after 2015,1,0,10022,9589,sports car,1,3,1,0
27,26-39,female,majority,0-9y,high school,working class,0.684255,0,after 2015,0,0,10007,19376,sedan,2,0,4,1
28,40-64,female,majority,20-29y,high school,middle class,0.279622,0,before 2015,1,1,10022,18683,sedan,1,0,3,0
29,40-64,female,majority,10-19y,university,poverty,0.382406,0,before 2015,1,0,10032,7673,sedan,3,0,3,1
30,16-25,female,majority,0-9y,high school,working class,0.406133,1,after 2015,1,0,10065,22270,sedan,1,0,2,1
31,40-64,male,minority,20-29y,high school,middle class,0.153638,1,after 2015,0,1,10068,6203,sedan,1,2,0,0
32,26-39,female,majority,0-9y,university,working class,0.160654,0,after 2015,1,1,10065,5094,sedan,0,0,1,0
33,16-25,female,minority,30y+,none,upper class,0.148395,1,before 2015,1,1,10015,21108,sports car,1,2,0,1
34,65+,female,majority,20-29y,high school,middle class,0.521664,0,before 2015,0,1,10081,17960,sedan,1,0,0,0
35,65+,female,majority,30y+,high school,upper class,0.674186,1,before 2015,0,1,10007,8799,sedan,0,1,1,0
36,40-64,male,minority,10-19y,high school,working class,0.590721,0,after 2015,0,0,10015,19488,sedan,0,0,0,0
37,26-39,female,majority,30y+,university,poverty,0.977767,1,before 2015,0,0,10068,22586,sports car,0,0,1,0
38,16-25,male,majority,0-9y,university,middle class,0.125875,0,after 2015,0,1,10032,8529,sedan,0,0,4,0
39,40-64,female,minority,0-9y,high school,working class,0.986474,1,after 2015,0,1,10048,11699,sedan,3,1,3,1
40,26-39,male,majority,0-9y,high school,working class,0.466674,1,after 2015,0,0,10009,21433,sedan,4,0,0,0
41,16-25,female,majority,10-19y,high school,middle class,0.218633,0,before 2015,0,0,10065,20243,sedan,0,1,0,0
42,26-39,male,minority,0-9y,university,middle class,0.943281,0,before 2015,0,0,10238,17125,sedan,0,0,3,0
43,16-25,male,minority,10-19y,university,poverty,0.468613,0,before 2015,1,1,10068,12793,sedan,0,0,0,0
