,0,1,2,3,4,5,6,7,8,9,10
0,21.0,27.0,2.0,3.0,26.0,2.0,3.0,41.0,5.0,1.0,302.0
1,32.0,65.0,2.0,4.0,64.0,2.0,4.0,95.0,5.0,1.0,302.0
2,15.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,5.0,1.0,302.0
3,33.0,69.0,2.0,7.0,68.0,2.0,7.0,104.0,5.0,1.0,302.0
4,54.0,70.0,3.0,7.0,69.0,3.0,7.0,106.0,6.0,1.0,302.0
5,62.0,29.0,4.0,3.0,28.0,4.0,3.0,46.0,7.0,1.0,302.0
6,42.0,28.0,3.0,3.0,27.0,3.0,3.0,43.0,6.0,1.0,302.0
7,74.0,71.0,4.0,7.0,70.0,4.0,7.0,108.0,7.0,1.0,302.0
8,57.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,7.0,1.0,302.0
9,36.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,6.0,1.0,302.0
10,53.0,66.0,3.0,4.0,65.0,3.0,4.0,97.0,6.0,1.0,302.0
11,73.0,67.0,4.0,4.0,66.0,4.0,4.0,100.0,7.0,1.0,302.0
12,55.0,75.0,3.0,6.0,74.0,3.0,6.0,117.0,6.0,1.0,302.0
13,34.0,74.0,2.0,6.0,73.0,2.0,6.0,115.0,5.0,1.0,302.0
14,75.0,76.0,4.0,6.0,75.0,4.0,6.0,120.0,7.0,1.0,302.0
15,73.0,67.0,4.0,4.0,66.0,4.0,4.0,100.0,7.0,3.0,151.0
16,53.0,66.0,3.0,4.0,65.0,3.0,4.0,99.0,3.0,3.0,1.0
17,56.0,78.0,3.0,0.0,77.0,3.0,0.0,123.0,6.0,1.0,302.0
18,35.0,77.0,2.0,0.0,76.0,2.0,0.0,121.0,5.0,1.0,302.0
19,53.0,66.0,3.0,4.0,65.0,3.0,4.0,98.0,0.0,3.0,2.0
20,37.0,5.0,3.0,8.0,5.0,3.0,8.0,8.0,6.0,1.0,302.0
21,76.0,79.0,4.0,0.0,78.0,4.0,0.0,126.0,7.0,1.0,302.0
22,57.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,7.0,3.0,95.0
23,73.0,67.0,4.0,4.0,66.0,4.0,4.0,100.0,7.0,3.0,115.0
24,38.0,10.0,3.0,10.0,10.0,3.0,10.0,16.0,6.0,1.0,302.0
25,16.0,4.0,2.0,8.0,4.0,2.0,8.0,7.0,5.0,1.0,302.0
26,74.0,71.0,4.0,7.0,70.0,4.0,7.0,108.0,7.0,3.0,127.0
27,17.0,9.0,2.0,10.0,9.0,2.0,10.0,15.0,5.0,1.0,302.0
28,40.0,20.0,3.0,1.0,20.0,3.0,1.0,33.0,6.0,1.0,302.0
29,18.0,17.0,2.0,5.0,17.0,2.0,5.0,29.0,5.0,1.0,302.0
30,42.0,28.0,3.0,3.0,27.0,3.0,3.0,45.0,3.0,3.0,1.0
31,42.0,28.0,3.0,3.0,27.0,3.0,3.0,44.0,0.0,3.0,3.0
32,62.0,29.0,4.0,3.0,28.0,4.0,3.0,46.0,7.0,3.0,88.0
33,57.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,7.0,3.0,138.0
34,39.0,18.0,3.0,5.0,18.0,3.0,5.0,30.0,6.0,1.0,302.0
35,19.0,19.0,2.0,1.0,19.0,2.0,1.0,32.0,5.0,1.0,302.0
36,21.0,27.0,2.0,3.0,27.0,3.0,3.0,45.0,3.0,0.0,1.0
37,15.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0
38,33.0,69.0,2.0,7.0,69.0,3.0,7.0,107.0,3.0,0.0,0.0
39,21.0,27.0,2.0,3.0,26.0,2.0,3.0,42.0,3.0,3.0,1.0
40,41.0,23.0,3.0,9.0,23.0,3.0,9.0,37.0,6.0,1.0,302.0
41,32.0,65.0,2.0,4.0,65.0,3.0,4.0,99.0,3.0,0.0,1.0
42,20.0,22.0,2.0,9.0,22.0,2.0,9.0,36.0,5.0,1.0,302.0
43,73.0,67.0,4.0,4.0,66.0,4.0,4.0,100.0,7.0,3.0,284.0
44,74.0,71.0,4.0,7.0,70.0,4.0,7.0,108.0,7.0,3.0,203.0
45,32.0,65.0,2.0,4.0,64.0,2.0,4.0,96.0,3.0,3.0,1.0
46,58.0,6.0,4.0,8.0,6.0,4.0,8.0,10.0,7.0,1.0,302.0
47,57.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,7.0,3.0,193.0
48,62.0,29.0,4.0,3.0,28.0,4.0,3.0,46.0,7.0,3.0,71.0
49,59.0,11.0,4.0,10.0,11.0,4.0,10.0,18.0,7.0,1.0,302.0
50,33.0,69.0,2.0,7.0,69.0,3.0,7.0,107.0,3.0,0.0,0.0
51,21.0,27.0,2.0,3.0,27.0,3.0,3.0,45.0,3.0,0.0,1.0
52,18.0,17.0,2.0,5.0,18.0,3.0,5.0,31.0,3.0,0.0,0.0
53,15.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0
54,73.0,67.0,4.0,4.0,66.0,4.0,4.0,100.0,7.0,3.0,76.0
55,74.0,71.0,4.0,7.0,70.0,4.0,7.0,108.0,7.0,3.0,262.0
56,32.0,65.0,2.0,4.0,65.0,3.0,4.0,99.0,3.0,0.0,1.0
57,19.0,19.0,2.0,1.0,20.0,3.0,1.0,34.0,3.0,0.0,0.0
58,60.0,21.0,4.0,1.0,21.0,4.0,1.0,35.0,7.0,1.0,302.0
59,57.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,7.0,3.0,104.0
60,62.0,29.0,4.0,3.0,28.0,4.0,3.0,46.0,7.0,3.0,194.0
61,21.0,27.0,2.0,3.0,27.0,3.0,3.0,45.0,3.0,0.0,1.0
62,33.0,69.0,2.0,7.0,69.0,3.0,7.0,107.0,3.0,0.0,0.0
63,15.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0
64,73.0,67.0,4.0,4.0,66.0,4.0,4.0,100.0,7.0,3.0,148.0
65,74.0,71.0,4.0,7.0,70.0,4.0,7.0,108.0,7.0,3.0,172.0
66,76.0,79.0,4.0,0.0,78.0,4.0,0.0,126.0,7.0,3.0,84.0
67,32.0,65.0,2.0,4.0,65.0,3.0,4.0,99.0,3.0,0.0,1.0
68,18.0,17.0,2.0,5.0,18.0,3.0,5.0,31.0,3.0,0.0,0.0
69,17.0,9.0,2.0,10.0,10.0,3.0,10.0,17.0,3.0,0.0,0.0
70,57.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,7.0,3.0,117.0
71,16.0,4.0,2.0,8.0,5.0,3.0,8.0,9.0,3.0,0.0,0.0
72,62.0,29.0,4.0,3.0,28.0,4.0,3.0,46.0,7.0,3.0,224.0
73,19.0,19.0,2.0,1.0,20.0,3.0,1.0,34.0,3.0,0.0,0.0
74,33.0,69.0,2.0,7.0,69.0,3.0,7.0,107.0,3.0,0.0,0.0
75,35.0,77.0,2.0,0.0,77.0,3.0,0.0,125.0,3.0,0.0,0.0
76,21.0,27.0,2.0,3.0,27.0,3.0,3.0,45.0,3.0,0.0,1.0
77,15.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0
78,73.0,67.0,4.0,4.0,66.0,4.0,4.0,100.0,7.0,3.0,182.0
79,32.0,65.0,2.0,4.0,65.0,3.0,4.0,99.0,3.0,0.0,1.0
80,74.0,71.0,4.0,7.0,70.0,4.0,7.0,108.0,7.0,3.0,83.0
81,76.0,79.0,4.0,0.0,78.0,4.0,0.0,126.0,7.0,3.0,191.0
82,18.0,17.0,2.0,5.0,18.0,3.0,5.0,31.0,3.0,0.0,0.0
83,57.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,7.0,3.0,186.0
84,17.0,9.0,2.0,10.0,10.0,3.0,10.0,17.0,3.0,0.0,0.0
85,43.0,32.0,3.0,11.0,31.0,3.0,11.0,50.0,6.0,1.0,302.0
86,16.0,4.0,2.0,8.0,5.0,3.0,8.0,9.0,3.0,0.0,0.0
87,19.0,19.0,2.0,1.0,20.0,3.0,1.0,34.0,3.0,0.0,0.0
88,21.0,27.0,2.0,3.0,27.0,3.0,3.0,45.0,3.0,0.0,1.0
89,33.0,69.0,2.0,7.0,69.0,3.0,7.0,107.0,3.0,0.0,0.0
90,75.0,76.0,4.0,6.0,75.0,4.0,6.0,120.0,7.0,3.0,73.0
91,62.0,29.0,4.0,3.0,28.0,4.0,3.0,46.0,7.0,3.0,200.0
92,15.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0
