,0,1,2,3,4,5,6,7,8,9,10
0,21,27,2,3,26,2,3,41,5,1,302
1,32,65,2,4,64,2,4,95,5,1,302
2,15,0,2,2,0,2,2,0,5,1,302
3,33,69,2,7,68,2,7,104,5,1,302
4,54,70,3,7,69,3,7,106,6,1,302
5,62,29,4,3,28,4,3,46,7,1,302
6,42,28,3,3,27,3,3,43,6,1,302
7,74,71,4,7,70,4,7,108,7,1,302
8,57,2,4,2,2,4,2,4,7,1,302
9,36,1,3,2,1,3,2,2,6,1,302
10,53,66,3,4,65,3,4,97,6,1,302
11,73,67,4,4,66,4,4,100,7,1,302
12,55,75,3,6,74,3,6,117,6,1,302
13,34,74,2,6,73,2,6,115,5,1,302
14,75,76,4,6,75,4,6,120,7,1,302
15,73,67,4,4,66,4,4,100,7,3,151
16,53,66,3,4,65,3,4,99,3,3,1
17,56,78,3,0,77,3,0,123,6,1,302
18,35,77,2,0,76,2,0,121,5,1,302
19,53,66,3,4,65,3,4,98,0,3,2
20,37,5,3,8,5,3,8,8,6,1,302
21,76,79,4,0,78,4,0,126,7,1,302
22,57,2,4,2,2,4,2,4,7,3,95
23,73,67,4,4,66,4,4,100,7,3,115
24,38,10,3,10,10,3,10,16,6,1,302
25,16,4,2,8,4,2,8,7,5,1,302
26,74,71,4,7,70,4,7,108,7,3,127
27,17,9,2,10,9,2,10,15,5,1,302
28,40,20,3,1,20,3,1,33,6,1,302
29,18,17,2,5,17,2,5,29,5,1,302
30,42,28,3,3,27,3,3,45,3,3,1
31,42,28,3,3,27,3,3,44,0,3,3
32,62,29,4,3,28,4,3,46,7,3,88
33,57,2,4,2,2,4,2,4,7,3,138
34,39,18,3,5,18,3,5,30,6,1,302
35,19,19,2,1,19,2,1,32,5,1,302
36,21,27,2,3,27,3,3,45,3,0,1
37,15,0,2,2,1,3,2,3,3,0,0
38,33,69,2,7,69,3,7,107,3,0,0
39,21,27,2,3,26,2,3,42,3,3,1
40,41,23,3,9,23,3,9,37,6,1,302
41,32,65,2,4,65,3,4,99,3,0,1
42,20,22,2,9,22,2,9,36,5,1,302
43,73,67,4,4,66,4,4,100,7,3,284
44,74,71,4,7,70,4,7,108,7,3,203
45,32,65,2,4,64,2,4,96,3,3,1
46,58,6,4,8,6,4,8,10,7,1,302
47,57,2,4,2,2,4,2,4,7,3,193
48,62,29,4,3,28,4,3,46,7,3,71
49,59,11,4,10,11,4,10,18,7,1,302
50,33,69,2,7,69,3,7,107,3,0,0
51,21,27,2,3,27,3,3,45,3,0,1
52,18,17,2,5,18,3,5,31,3,0,0
53,15,0,2,2,1,3,2,3,3,0,0
54,73,67,4,4,66,4,4,100,7,3,76
55,74,71,4,7,70,4,7,108,7,3,262
56,32,65,2,4,65,3,4,99,3,0,1
57,19,19,2,1,20,3,1,34,3,0,0
58,60,21,4,1,21,4,1,35,7,1,302
59,57,2,4,2,2,4,2,4,7,3,104
60,62,29,4,3,28,4,3,46,7,3,194
61,21,27,2,3,27,3,3,45,3,0,1
62,33,69,2,7,69,3,7,107,3,0,0
63,15,0,2,2,1,3,2,3,3,0,0
64,73,67,4,4,66,4,4,100,7,3,148
65,74,71,4,7,70,4,7,108,7,3,172
66,76,79,4,0,78,4,0,126,7,3,84
67,32,65,2,4,65,3,4,99,3,0,1
68,18,17,2,5,18,3,5,31,3,0,0
69,17,9,2,10,10,3,10,17,3,0,0
70,57,2,4,2,2,4,2,4,7,3,117
71,16,4,2,8,5,3,8,9,3,0,0
72,62,29,4,3,28,4,3,46,7,3,224
73,19,19,2,1,20,3,1,34,3,0,0
74,33,69,2,7,69,3,7,107,3,0,0
75,35,77,2,0,77,3,0,125,3,0,0
76,21,27,2,3,27,3,3,45,3,0,1
77,15,0,2,2,1,3,2,3,3,0,0
78,73,67,4,4,66,4,4,100,7,3,182
79,32,65,2,4,65,3,4,99,3,0,1
80,74,71,4,7,70,4,7,108,7,3,83
81,76,79,4,0,78,4,0,126,7,3,191
82,18,17,2,5,18,3,5,31,3,0,0
83,57,2,4,2,2,4,2,4,7,3,186
84,17,9,2,10,10,3,10,17,3,0,0
85,43,32,3,11,31,3,11,50,6,1,302
86,16,4,2,8,5,3,8,9,3,0,0
87,19,19,2,1,20,3,1,34,3,0,0
88,21,27,2,3,27,3,3,45,3,0,1
89,33,69,2,7,69,3,7,107,3,0,0
90,75,76,4,6,75,4,6,120,7,3,73
91,62,29,4,3,28,4,3,46,7,3,200
92,15,0,2,2,1,3,2,3,3,0,0
93,73,67,4,4,66,4,4,100,7,3,271
94,32,65,2,4,65,3,4,99,3,0,1
95,18,17,2,5,18,3,5,31,3,0,0
96,76,79,4,0,78,4,0,126,7,3,59
97,74,71,4,7,70,4,7,108,7,3,41
98,61,24,4,9,24,4,9,39,7,1,302
99,57,2,4,2,2,4,2,4,7,3,118
100,55,75,3,6,74,3,6,119,3,3,1
101,17,9,2,10,10,3,10,17,3,0,0
102,21,27,2,3,27,3,3,45,3,0,1
103,19,19,2,1,20,3,1,34,3,0,0
104,16,4,2,8,5,3,8,9,3,0,0
105,62,29,4,3,28,4,3,46,7,3,58
106,34,74,2,6,74,3,6,119,3,0,1
107,35,77,2,0,77,3,0,125,3,0,0
108,73,67,4,4,66,4,4,100,7,3,8
109,18,17,2,5,18,3,5,31,3,0,0
110,75,76,4,6,75,4,6,120,7,3,259
111,55,75,3,6,74,3,6,118,0,3,4
112,63,33,4,11,32,4,11,52,7,1,302
113,22,31,2,11,30,2,11,49,5,1,302
114,15,0,2,2,1,3,2,3,3,0,0
115,33,69,2,7,69,3,7,107,3,0,0
116,34,74,2,6,73,2,6,116,3,3,1
117,32,65,2,4,65,3,4,99,3,0,1
118,44,36,3,13,35,3,13,56,6,1,302
