,0
0,0
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,0
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,1
114,1
115,0
116,0
117,1
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,0
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,1
225,1
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,1
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,1
312,0
313,1
314,0
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,1
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,0
347,1
348,1
349,1
350,1
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,0
359,0
360,0
361,0
362,1
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,1
394,0
395,0
396,1
397,0
398,0
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,0
410,1
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,1
419,1
420,1
421,1
422,0
423,1
424,0
425,1
426,0
427,0
428,1
429,1
430,1
431,0
432,0
433,0
434,1
435,0
436,1
437,1
438,1
439,0
440,0
441,0
442,1
443,1
444,0
445,1
446,1
447,1
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,1
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,1
481,0
482,0
483,0
484,1
485,1
486,1
487,1
488,0
489,0
490,1
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,0
501,0
502,0
503,1
504,1
505,1
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,1
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,0
